english,twi
warmonger,ntɔkwapɛfoɔ
water,nsuo
warn,bɔ kɔkɔ
wave,asorɔkyeɛ
warning,kɔkɔbɔ
warrant,tumi krataa
waste,sɛe
wasteful,deɛ ɛresɛe kwa
watchful,ani da hɔ
waver,popo
wax,asom fi
way,ɛkwan
wayward,asoɔdenfoɔ
want,pɛ
wan,hoyaa
wallow,boro
wantonness,ahofibɔ
wander,kyinkyini
wane,te so
wag,woso
wangle,daadaa nya
wanton,odwamanfoɔ
war,ɔko
waft,tu fa
wait,twɛn
waggle,woso
wage,akatua
vote,to aba
wagon,teaseɛnam
wager,nkyea
waif,onnibie
voucher,sikatua mu adansedie krataa
wail,twa agyaadwoɔ
voyage,ɛpo so akwantuo
vow,ka ntam
vulgar,kasafi
wade,nante nsuo mu
wafer,bisikiti traa
waddle,nante afa afa
vituperation,kasatia
vivacious,deɛ ne ho twa
vocabulary,ɔkasa mu nsɛmfua
vocal,deɛ ɛfa ɛnne ho
vocation,nsaanodwuma
vogue,ɛfene
void,hwee
volcano,ogya bepɔ
voice,ɛnne
volume,anoden
vision,anisoadehunu
visionary,deɛ ɔwɔ anisoadehunu
visual,ani so
visit,sra
vital,deɛ ɛho hia pa ara
vitamin,nnuaneduro
vitiate,sɛe
vitality,ahoɔden
vituperate,bɔ soboɔ denneennen
villain,ɔsatufoɔ
virtue,suban pa
vindicate,bu bem
violate,to mmara
violent,deɛ emu yɛ den
virgin,ɔbabunu
virile,deɛ ne ho yɛ den
virulent,edi awu
victim,deɛ wɔapira no
victor,nkonimdifoɔ
victual,aduane
vie,si akan
view,hwɛ
vigil,apɛsire
vigour,ahoɔden
vigilant,ani da hɔ
vestige,akyire adeɛ
viewer,hwɛadeni
veteran,deɛ wakyɛ ne dwumadie mu
veterinary,deɛ ɛfa mmoa nyarewa ne ayarehwɛ ho
veto,tumi a wɔde bɔ gyinaeɛ gu
vex,hyɛ abufuo
vibration,awosoɔ
vibrate,woso
vice,bɔne
verge,ano pɛɛ
verify,pɛ mu nokorɛ
veritable,turodoo
vermin,mmoawa a wɔsɛe nneɛma
vernacular,obi kurom kasa
vespers,anwummerɛsɔre
vertebra,akyiri dompe
versatile,deɛ ɔwɔ nneɛma ahodoɔ ho nimdeɛ
ventilate,ma mframa fa baabi
venerable,deɛ n anim yɛ duru
venture,sɔ hwɛ
venue,beaeɛ
veracious,deɛ ɛyɛ nokorɛ
verbatim,pɛpɛɛpɛ
verbal,anom asɛm
whore,otuutuuni
wheel,ntwahonan
weekly,nnawɔtwe nnawɔtwe
work,adwuma
wildfire,ogyatanaa
wire,dadeɛ ahoma
woodpecker,abobɔnnua
wireless,kasafidie
wisdom,nyansa
wise,nyansani
zone,ɔfa
heron,nsunoma
wool,dwannwi
dove,abuburo
zigzag,apompono
yolk,kosua mfimfini
zero,ohunu
turaco,brobe
zoo,mmoa korabea
zoology,mmoadoma ho nimdepɛ
beeeater,buronyanoma
hornbill,akyenkyena
manakin,antorohweɛ
disgusting,abofono
tinkerbird,apiti
drongo,kotokosambire
nightjar,santrofie
francolin,aboko
spit,te ntasuo
mad,abɔ dam
syphilis,kekaeɛ
sex,edie
crotch,dammirifa mu
fuck,di
revolting,abofono
fib,ntorɔ
rude,deɛ ɔmmu adeɛ
egret,belebele
handjob,aboasi
wank,aboasi
moron,ɔkwasea
poo,ebini
nympho,ɔbaa dwamanfoɔ
paedophile,awengaa
pee,dwonsɔ
piss,dwonsɔ
piddle,dwonsɔ
bullshit,nkwaseasɛm
cunt,ɛtwɛ
twat,ɛtwɛ
dick,kɔteɛ
prick,kɔteɛ
dildo,krawa kɔte
dyke,ɔbaa barima
lesbian,ɔbaa barima
erection,kɔtedenden
foreskin,kɔtebɔtɔ
zoolatry,mmoadoma som
zoologist,mmoadoma ho nimdefoɔ
asshole,turumu
youth,ɔbabunu
blowjob,kɔtefeɛ
boob,nufoɔ
yonder,nohoaa
young,ketewa
youngster,akwadaa
youthful,babunu
zeal,aniku
zealous,deɛ n ani ku biribi yɔ
wrong,fom
zenith,atifi
zephyr,ahum
write,twerɛ
writing,atwerɛ
writhe,petere
wrath,abufuhyew
wrondoing,bɔnedie
wrongdoer,ɔbɔneyɛfoɔ
yelp,nteamu prɛko pɛ
yield,gyae mu
yeoman,okuani
yoke,kɔndua
wreath,nna so nhwiren
wreck,sɛe
world,ewiase
wrest,hwim
wrestle,tentam
wretch,mmɔboroni
wriggle,kyinkyim
wring,kyim
wrinkle,mpomponoeɛ
writ,samannwoma
worm,sonsono
worship,som
worse,ɛnyɛ koraa
wrangle,ntɔkwa
wrapper,nkatahodeɛ
withstand,gyina ano
wrap,kyekyere
withhold,sianka
wonder,anwonwadeɛ
within,emu
witness,ɔdanseni
witch,bayifoɔ
wizard,bayibonsam
wizened,atwintwam
witchcraft,abayisɛm
woe,awerɛhoɔ
wobble,woso
withdrawal,nyifirimu
wish,apɛdeɛ
woo,de ano toto
will,bɛ
wit,adwene
withdraw,twe san
wind,mframa
win,di nkonim
wine,bobesa
wing,ataban
winnow,huhu so
wink,bɔ ani
wicked,deɛ ne tirim yɛ den
winter,awɔberɛ
wipe,popa
wick,kanea mu ntomaban
wickedness,atirimuɔden
widespread,deɛ aseɛ atrɛ
wild,nwuram aboa
wield,kuta
width,biribi tɛtrɛtɛ mu
wig,nwi kyɛ
wilderness,ɛserɛ so
whisk,twe kɔ prɛko pɛ
whisker,bɔdwesɛputu
whisper,ka asomsɛm
whistle,bɔ hwerɛma
whoever,obiara a
whole,nyinaa
wholehearted,akoma nyinaa di akyire
wholesale,ntuma dwadie
wholesome,deɛ ɛho teɛ
whoop,nteamu
whenever,berɛ biara
whet,se
whetstone,sereboɔ
whimper,su ehu su
whimsical,deɛ ɛntaa nsi
whine,kwan
whip,mpire
whirl,twa ho
whirlwind,mmoatia mframa
weekday,adwuma da
weekend,memeneda ne kwasiada
weep,te anisuo
weight,biribi mu duru
weigh,kari
weird,nwanwa
welfare,yiedie
wetnurse,deɛ ɔma ɔfoforɔ ba nufosuo
wheat,hwiiti
help,boa
smell,bɔn
get,nya
song,ɛdwom
sunbird,aserewa
financeminister,fotosanfoɔ
fold,bobɔ
swallow,mene
twelve,dumienu
eleven,dubaako
twentytwo,aduonu mmienu
twentyone,aduonu baako
twentythree,aduonu mmiɛnsa
fiftyone,aduonum baako
sixtyone,aduosia baako
seventyone,aduɔson baako
ninetytwo,aduɔkron mmienu
ninetyone,aduɔkron baako
ninetythree,aduɔkron mmiɛnsa
ninetyfour,aduɔkron nan
ninetyfive,aduɔkron num
ninetysix,aduɔkron nsia
ninetyseven,aduɔkron nson
ninetyeight,aduɔkron nwɔtwe
ninetynine,aduɔkron nkron
hundred,ɔha
eightytwo,aduɔwɔtwe mmienu
eightyone,aduɔwɔtwe baako
eightythree,aduɔwɔtwe mmiɛnsa
eightyfour,aduɔwɔtwe nan
eightysix,aduɔwɔtwe nsia
eightyfive,aduɔwɔtwe num
eightyseven,aduɔwɔtwe nson
eightyeight,aduɔwɔtwe nwɔtwe
eightynine,aduɔwɔtwe nkron
ninety,aduɔkron
seventytwo,aduɔson mmienu
seventythree,aduɔson mmiɛnsa
seventyfour,aduɔson nan
seventyfive,aduɔson num
seventysix,aduɔson nsia
seventyeight,aduɔson nwɔtwe
seventyseven,aduɔson nson
seventynine,aduɔson nkron
eighty,aduɔwɔtwe
sixtytwo,aduosia mmienu
sixtythree,aduosia mmiɛnsa
sixtyfour,aduosia nan
fiftytwo,aduonum mmienu
sixtyfive,aduosia num
sixtysix,aduosia nsia
sixtyseven,aduosia nson
sixtyeight,aduosia nwɔtwe
sixtynine,aduosia nkron
fiftyseven,aduonum nson
seventy,aduɔson
fiftythree,aduonum mmiɛnsa
fiftyfour,aduonum nan
fiftysix,aduonum nsia
fiftyfive,aduonum num
fiftynine,aduonum nkron
sixty,aduosia
fiftyeight,aduonum nwɔtwe
fortyone,aduanan baako
fortytwo,aduanan mmienu
fifty,aduonum
fortythree,aduanan mmiɛnsa
fortyfour,aduanan nan
fortyfive,aduanan num
fortysix,aduanan nsia
fortyeight,aduanan nwɔtwe
fortyseven,aduanan nson
fortynine,aduanan nkron
twentyfour,aduonu nan
twentyfive,aduonu num
twentysix,aduonu nsia
twentyseven,aduonu nson
twentynine,aduonu nkron
twentyeight,aduonu nwɔtwe
thirty,aduasa
thirtyone,aduasa baako
thirtythree,aduasa mmiɛnsa
thirtytwo,aduasa mmienu
thirtyfour,aduasa nan
thirtyfive,aduasa num
thirtysix,aduasa nsia
thirtyseven,aduasa nson
thirtyeight,aduasa nwɔtwe
thirtynine,aduasa nkron
seventeen,dunson
thirteen,dumiɛnsa
twenty,aduonu
forty,aduanan
music,nnwom
fourteen,dunan
run,tu ammirika
fifteen,dunum
marry,ware
travel,tu kwan
sixteen,dunsia
steal,wia
finish,wie
eighteen,dunwɔtwe
do,yɛ
nineteen,dunkron
invite,to nsa frɛ
one,baako
getlost,yera
two,mmienu
three,mmiɛnsa
four,ɛnan
five,enum
six,nsia
seven,nson
smile,nwenwene
eight,nwɔtwe
nine,nkron
feeling,atenka
meet,hyia
ten,edu
measure,susu
dream,so daeɛ
tell,ka
nominate,tu
talk,kasa
feel,te nka
struggle,pere
shout,tea mu
gift,akyɛdeɛ
wear,hyɛ
forgive,fa kyɛ
share,kyɛ
hold,kuta
swear,ka ntam
look,hwɛ
roam,kyini
slap,bɔ asom
mix,fra
bolt,dwane
forgiveness,bɔnefakyɛ
onehundredone,ɔha ne baako
onehundredtwo,ɔha ne mmienu
onehundredeleven,ɔha ne dubaako
onehundredthree,ɔha ne mmiɛnsa
onehundredfour,ɔha ne nan
twohundred,ahanu
fourthousand,mpem nan
threethousand,mpem mmiɛnsa
fortythousand,mpem aduanan
fiftythousand,mpem aduonum
seventymillion,ɔpepem aduɔson
name,edin
eightymillion,ɔpepem aduɔwɔtwe
ninetymillion,ɔpepem aduɔkron
onehundredtwentyeight,ɔha ne aduonu nwɔtwe
onethousandnine,apem ne nkron
onethousandeight,apem ne nwɔtwe
food,aduane
home,efie
spirit,honhom
idonthateyou,mentan wo
ludo,ludu
soup,nkwan
iambored,m ani aha
somewhere,baabi
iamastonished,me ho adwiri me
train,tete
gun,etuo
farm,afuo
iamafraid,mesuro
hunger,ɛkɔm
doyouloveme,wodɔ me
iamnotafraid,mensuro
iamnotbored,m ani nhaeɛ
iamnotangry,me bo mfuiɛ
iamnotsad,me werɛ nhoeɛ
iamnothappy,m ani nnye
areyouremorseful,woanu wo ho
areyoushy,wofɛre
ihateyou,metan wo
iamshy,mefɛre
areyouashamed,w ani awu
iamnotshy,memfɛre
iamashamed,m ani awu
ihaveregretted,manu me ho
iamnotashamed,m ani nwuiɛ
areyouafraid,wosuro
onethousandten,apem ne du
areyouangry,wo bo afu
areyouhappy,w ani agye
areyousad,wo werɛ aho
areyouastonished,wo ho adwiri wo
areyoubored,w ani aha
doyouhateme,wotan me
onehundredtwentynine,ɔha ne aduonu nkron
onehundredthirty,ɔha ne aduasa
onethousandone,apem ne baako
onethousandfour,apem ne nan
onethousandtwo,apem ne mmienu
onethousandthree,apem ne mmiɛnsa
onethousandfive,apem ne num
onethousandseven,apem ne nson
onethousandsix,apem ne nsia
eighthundredmillion,ɔpepem ahanwɔtwe
ninehundredmillion,ɔpepem ahankron
onehundredtwentyone,ɔha ne aduonu baako
onebillion,ɔpepepem
onehundredtwentytwo,ɔha ne aduonu mmienu
onehundredtwentythree,ɔha ne aduonu mmiɛnsa
onehundredtwentyfour,ɔha ne aduonu nan
fourhundredmillion,ɔpepem ahanan
onehundredtwentyfive,ɔha ne aduonu num
onehundredtwentysix,ɔha ne aduonu nsia
onehundredtwentyseven,ɔha ne aduonu nson
onehundredmillion,ɔpepem ɔ ha
twohundredmillion,ɔpepem ahanu
threehundredmillion,ɔpepem ahasa
fivehundredmillion,ɔpepem ahanum
sixhundredmillion,ɔpepem ahansia
sevenhundredmillion,ɔpepem ahanson
sixmillion,ɔpepem nsia
sevenmillion,ɔpepem nson
eightmillion,ɔpepem nwɔtwe
ninemillion,ɔpepem nkron
tenmillion,ɔpepem du
thirtymillion,ɔpepem aduasa
twentymillion,ɔpepem aduonu
fortymillion,ɔpepem aduanan
fiftymillion,ɔpepem aduonum
sixtymillion,ɔpepem aduosia
sixtythousand,mpem aduosia
seventythousand,mpem aduɔson
eightythousand,mpem aduɔwɔtwe
ninetythousand,mpem aduɔkron
hundredthousand,mpem ɔ ha
twohundredthousand,mpem ahanu
threehundredthousand,mpem ahasa
fourhundredthousand,mpem ahanan
sixhundredthousand,mpem ahansia
fivehundredthousand,mpem ahanum
fourmillion,ɔpepem nan
sevenhundredthousand,mpem ahanson
ninehundredthousand,mpem ahankron
onemillion,ɔpepem
eighthundredthousand,mpem ahanwɔtwe
twomillion,ɔpepem mmienu
threemillion,ɔpepem mmiɛnsa
fivemillion,ɔpepem num
fivethousand,mpem num
sixthousand,mpem nsia
seventhousand,mpem nson
eightthousand,mpem nwɔtwe
ninethousand,mpem nkron
twentythousand,mpem aduonu
tenthousand,mpem du
thirtythousand,mpem aduasa
fourhundred,ahanan
threehundred,ahasa
fivehundred,ahanum
sixhundred,ahansia
sevenhundred,ahanson
ninehundred,ahankron
eighthundred,ahanwɔtwe
thousand,apem
twothousand,mpem mmienu
onehundredtwelve,ɔha ne dumienu
onehundredthirteen,ɔha ne dumiɛnsa
onehundredfourteen,ɔha ne dunan
onehundredfifteen,ɔha ne dunum
onehundredsixteen,ɔha ne dunsia
onehundredseventeen,ɔha ne dunson
onehundredeighteen,ɔha ne dunwɔtwe
onehundrednineteen,ɔha ne dunkron
onehundredtwenty,ɔha ne aduonu
onehundredfive,ɔha ne num
onehundredsix,ɔha ne nsia
onehundredseven,ɔha ne nson
onehundredeight,ɔha ne nwɔtwe
onehundrednine,ɔha ne nkron
onehundredten,ɔha ne du
unique,soronko
walkingstick,poma
lamp,kanea
lancet,adɔkotafoɔ sekammoa
land,asase
lash,bo
lass,abaayewa
lassitude,boto
leader,ɔkandifoɔ
league,ekuo
lecture,adekyerɛ
legislator,mmarahyehyɛfoɔ
liberation,ahofadie
library,nwomakorabea
liberty,faahodie
linguist,ɔkyeame
librarian,nwomakorabea hwɛsofoɔ
liturgy,ɔsom
livestock,afieboa
loan,bosea
load,adesoa
lob,to
lobby,asa so
locate,hwehwɛ
location,beaeɛ
lock,to mu
lofty,sorosoro
literacy,atwerɛ ne akenkan ho nimdeɛ
literate,nim atwerɛ ne akenkan
literature,nwoma ahodoɔ
litigate,twe manso
litigation,mansotwe
litter,nwira
little,ketewa
live,tena ase
livelihood,daadaa aduane
lively,deɛ ɔkeka ne ho
limp,tɔ gu so
lightning,ayerɛmo
limpid,deɛ ani da hɔ
line,nsaneeɛ
lineage,asefoɔ
lineament,anim ahyɛnsodeɛ
lineal,aseni
linen,nwera
link,ayɔnkofa
linger,twentwɛn
lingo,kasa
liniment,fatwikɛkɛ
linguistics,kasahodoɔ mu nimdepɛ
lioness,gyata bedeɛ
lionize,hoahoa
liquor,nsaden
liqueur,nsaden
liquid,nsuo
lisp,tɛkyerɛmabutu
licence,ɔkwamma
license,ma kwan
lifelong,afebɔɔ
lexicon,ɔkasa mu nsɛmfua
lifeless,deɛ nkwa nnim
lift,pagya
lighten,ma ɛhyerɛn
lesson,adesuadeɛ
lethal,deɛ etumi di awu
levy,ɛtoɔ
liable,deɛ mmara kyekyere no
liaison,nkutahodie
libation,nsaguo
lemon,akankaa
libel,dinsɛeɛ
libelous,deɛ ɛsɛe din
liberate,ma faahodie
leper,ɔkwatani
legitimate,deɛ ɛda mmara kwan mu
leisure,ahomegyeberɛ
legacy,awugyadeɛ
lend,de fɛm
length,biribi tenten
lenient,deɛ ɔyɛ ahummɔborɔ
lesion,ekuro
less,ketewa
ledger,akontabuo nwoma
leer,hwɛ hwɛbɔne
leak,nwunu
legal,mmarasɛm
learn,sua
legend,abasɛm
leggings,sɔkoso
leggy,nan tenten
legislate,hyehyɛ mmara
legislation,mmara
lean,twere
leap,huri
learned,ɔbenfo
lease,de hane
least,emu ketewa
leather,aboa nwoma
laudable,ɛsɛ ayɛyie
lavatory,tiafi
lavender,aduhwam
lavish,akɛsesɛm
law,mmara
lawyer,mmaranimfoɔ
lax,ago
laxative,afaseduro
lay,de to hɔ
lead,di anim
last,deɛ ɛtwa toɔ
late,amma ntɛm
latent,ahinta
lateral,nkyɛnmu
latrine,tiafi
loud,ano yɛ den
laud,yi ayɛ
landlady,efiewura
lanky,ateaadonko
bargain2,kasa
landlord,efiewura
laconic,deɛ wɔatwa no tiawa
lap,ɛsrɛ so
lady,awuraba
lapse,mfomsoɔ
larceny,korɔno
large,kɛseɛ
burn,hye
river,asubɔntene
hat,ɛkyɛ
lad,abarimaa
becareful,yɛ ahwɛyie
lake,ɔtadeɛ
lagoon,baka
lamb,odwamma
thing,adeɛ
sun,owia
lame,apakye
lament,nwiinwii
surprising,nwanwa
carefulness,ahwɛyie
group,ekuo
log,duasini
loft,nsɛmso
loyal,nokwafoɔ
lop,twa twene
lubricate,gu mu ngo
maid,abaawa
lustre,animuonyam
lusty,deɛ ne ho tua ne ho soɔ
make,yɛ
maiden,ababaawa
mail,krataa
mature,anyini
maltreatment,anitan
mammoth,kɛse pa ara
mare,pɔnkɔ bedeɛ
mar,sɛe
mattock,asɔsɔ
masterkey,apono dodoɔ safoa
mean,kyerɛ
mattress,pikyi
maximum,mpɛmpɛnso kɛseɛ
may2,bɛtumi
meagre,ketewa bi
means,akwan
meal,aduane
meander,manemane
matchet,nkrantɛ
machete,nkrantɛ
mate,ɔyɔnkoɔ
material,adeɛ
mathematics,nkontabuo
mathematician,nkontabuo mu ɔbemfo
patricide,papakum
mask,nkataanim
matrimony,awareɛ
marvel,ma ho dwiri wo
matricide,maamekum
mascot,nipa a siadeɛ wɔ ne ho
marvelous,deɛ ɛyɛ nwanwa
masculine,barima
marital,deɛ ɛfa awareɛ ho
mason,ɔbotoni
massacre,nnipa dodoɔ kum
massage,miamia
master,owura
massive,kakraa
margarine,bɔta
marijuana,abonsamtawa
market,edwom
marketing,dawurobɔ
mart,dwadibea
martial,ntɔkwasɛm
martyr,mogyadansefoɔ
mansion,efikɛseɛ
manslaughter,nnipakum
map,akyerɛkyerɛkwan
manual,nsaano
manufacture,yɔ
manure,mmoa agyanan
manuscript,nwoma a wɔde nsa atwerɛ
mammon,ahonyadeɛ
manhood,mmaninyɛ
manliness,mmaninyɛ
manicure,nsa ne nsa bɔwerɛ ho asiesie
pedicure,ɛnan ne nan bɔwerɛ ho asiesie
manifest,da adi
manner,yɔbea
manifesto,amanyɔkuo anisoadehunu
manipulate,danedane
manipulation,nnaadaa
manna,maana
mankind,adasamma
mannish,ɔbaa barima
manacle,adansa
manage,toto
manager,ɔhwɛsofoɔ
mane,nwi tenten
manger,mmoa adididaka
mangle,sɛe
manhandle,twe ase
manhole,amena donkudonku
malady,yareɛ
malefactor,ɔdebɔneyɛfoɔ
malice,adwemmɔne
malicious,deɛ adwemmɔne aba ne tirim
malign,wowɔ ase
malinger,patu yare
mallet,abɔsobaa
malodorous,kankan
maltreat,tan ani
main,ankasa
maim,di dɛm
maintain,kura mu
maintenance,nsiesie
majesty,animuonyam
major,titire
majority,dodoɔ
magician,deɛ ɔyɛ korofasa
magical,deɛ ɛyɛ fɛ
magistrate,otemmuafoɔ
magnate,osikani
magnet,tweboɔ
luxury,ateyie
magnificent,fɛɛfɛ
magnify,yɛ kɛseɛ
madam,awuraba
magnification,kɛseyɔ
magic,korofasa
magnitude,ne kɛseɛ
maggot,nnokoboa
lynch,si aboɔ
macaroni,taalia
machination,adwemmɔne
madden,hyɛ abufuo
magazine,akodeɛ korabea
lukewarm,dedɛɛdedɛɛ
lullaby,dwom a wɔde deda abɔfra
lumbago,sisiyareɛ
lumber,nnua
lunatic,ɔbɔdamfoɔ
lunch,awia aduane
lure,daadaa
lurk,tetɛ
luscious,deɛ ɛyɛ dɛ
lust,akɔnnɔ bɔne
lubricant,ngo
lucid,fann
luck,tiri nkwa
lucky,tiri yɛ
lord,owura
ludicrous,nyansa nnim
lucrative,deɛ sika wɔ mu
luggage,nnoɔma
lug,soa
lopsided,deɛ ɛfa sene fa
loquacious,ɔkasafoɔ
lose,hwere
lot,bebree
louse,edwie
lotion,nku
low,deɛ ɛwɔ fam
loom,asadua
lower,deɛ ɛwɔ fam
loggerheads,ayɛaka
loin,dwonku
loiter,twentwɛn nan ase
lone,ankonam
longevity,nkwa tenten
loose,hodwo
loot,korɔnodeɛ
measly,ketekete
mechanic,afidie dwomfoɔ
meditation,mpaebɔ
medicinal,deɛ ɛsa yareɛ
mend,siesie
medium,akwan
memory,adwene
menace,ɔhaw
miracle,nsɛnkyerɛnne
mendacious,nka nokorɛ
method,ɛkwan
meticulous,fenenkyem
metropolis,ahenkuro
misadventure,asiane
misanthrope,deɛ ɔkyiri nnipa
misbehave,yɛ deɛ ɛnsɛ
mitigate,brɛ ano ase
mobilephone,megyina abɔntene na merekasa yi
mitten,nsabɔha
moan,su
mob,ɛdɔm
mobilise,boaboa ano
mock,tweetwee
mode,su
moderate,ɛhɔ ne hɔ
model,nhwɛsoɔ
misdemeanour,bɔne ketewa bi
miser,pɛpɛɛ
miserable,yɛ mmɔbɔ
misery,amanneɛ
misfortune,mmusuo
mishap,asiane
mislead,daadaa
misguide,daadaa
misgiving,akyinnyegyeɛ
mislay,fom tobea
mistress,ɔbaa a ɔne barima warefoɔ da
misunderstand,nya nteaseɛ bɔne
misplace,yera
misprint,nwoma tintim mu mfomsoɔ
missile,topaeɛ kodiawuo
mission,botaeɛ
mistake,mfomsoɔ
mist,kusukusu
misunderstanding,nwantwininwantwini
misuse,de di dwuma bɔne
misbehaviour,nneyɛɛ bɔne
miscarriage,apɔn
miscarry,pɔn
mischief,amumuyɔ
misconceive,nya nteaseɛ bɔne
misconception,nteaseɛ bɔne
mild,dedɛɛdedɛɛ
milk,nufosuo
millennium,mfeɛ apem
mine,me dea
milliner,deɛ ɔtɔn mmaa kyɛ
mimic,suasua
mince,twitwa nketenkete
mind,adwene
mineral,fagudeɛ
mingle,di afra
mini,wa
minimize,brɛ ano ase
minimum,aseɛ koraa
mint,sikatwabea
minister,ɔsoafoɔ
minute,simma
ministry,asoeɛ
minor,deɛ ɛho nhia
minority,ɔfa ketewa
minus,te firi mu
mess,efi
micro,ketewa
mettle,nwetasoɔ
microphone,ɔkasamu
midwife,awogyefoɔ
midwifery,awogyeɛ
migraine,asoroben
migrate,tu kɔ
message,nkra
messenger,ɔsomafoɔ
messiah,agyenkwa
meteor,nsorommatuadua
melange,mfrafraeɛ
meekness,ɔdwoɔ
meteorological,deɛ ɛfa ewiem nsakraeɛ ho
mercy,ahummɔborɔ
meteorology,ewiem nsakraeɛ ho adesua
meter,susufidie
mention,bɔ din
mentor,ofutufoɔ
merchant,odwadini
merciful,mmɔborɔhunufoɔ
mere,kɛkɛ
merge,ka bom
merger,nkabomu
mermaid,maame wata
merry,anigyeɛ
mendicant,ɔdesrɛfoɔ
meeting,nhyiamu
menopause,bratwa
menstruation,brayɛ
menstruate,yɛ bra
menswear,mmarima afadeɛ
mental,adwene mu
meek,dinn
melancholy,awerɛhoɔ
melon,ɛferɛ
media,dawurubɔ dwuma
melt,nane
member,ekuoba
memorial,nkaedeɛ
mechanism,ɛkwan
medal,animuonyamhyɛdeɛ
meddle,de ho wurawura mu
mediate,di asɛm
medicate,ma aduro
medication,aduro
meditate,dwene ho kɔ akyire
modern,abɛɛfo
moment,anitwa
momentum,ano den
moral,asuadeɛ
monotonous,deɛ ɛyɛ aniha
motion,kankorɔ
motivate,hyɛ nkuran
moustache,ano ho nwi
move,kɔ
movie,sini
multiply,dɔre
multitude,nnipadɔm
mummy,efunu a wɔakora
nasty,ɛnyɛ koraa
narrow,hiahia
worldwideweb,amansan ntontan kɛseɛ
nest,anomaabuo
nestle,da ho
nestling,anomaa ba
net,asau
news,kaseɛ
newscaster,amannebɔfoɔ
newspaper,kowaa krataa
newscast,amannebɔ
neighbour,ofipamni
newsworthy,deɛ ɛyɛ anika
next,deɛ ɛdi hɔ
internet,intanɛt
needy,deɛ ɔdi hia
negative,dabi
neglect,po
neigh,ɔpɔnkɔ su
nephew,wɔfaase
nepotism,nyiyimu
nerve,ntini
nausea,abofono
navel,afunuma
neat,ɛho te
shoe,mpaboa
neatness,ahoteɛ
necessary,ɛho hia
necessity,ahiadeɛ
healthinsurance,apɔmuden nsiakyibaa
natural,deɛ ɛfiri abɔdeɛ
earring,asomadeɛ
necklace,kɔnmuadeɛ
naughty,deɛ ɔha adwene
mystery,ahintasɛm
necktie,abɔmenemu
nag,kwane
natal,deɛ ɛfa awogyebea ho
nation,ɔman
native,ɔmanni
naked,da adagya
nature,su
naughtiness,ahuhusɛm
mysterious,ɛyɛ hu
nanny,akwadaa so hwɛfoɔ
nakedness,adagya
nap,anisoyie
nape,kɔn akyi
napkin,apopadeɛ
narrate,ka
musician,dwontoni
singer,dwontoni
must,sɛ sɛ
mutable,ɛtumi sesa
muster,boa ano
munch,we
mute,dinn
mutilate,twitwa
mutiny,atuateɛ
mutter,ka hyɛ hwene mu
myopic,deɛ n ani nhunu akyire
munition,akodeɛ
murder,awudie
murky,kusuu
murmur,kasa ketekete
museum,tete nneɛma akoraeɛ
mushroom,emmire
film,sini
mr,owura
mrs,owurayere
mud,atɛkyɛ
mudfish,adwene
mug,kuruwa kɛseɛ
mulatto,oburoni pɛtɛ
motivation,nkuranhyɛ
motor,afidie
motto,asɛmpɔ
mound,kofie
mountain,bepɔ
mount,foro
mourn,su
mourning,esu
more,bebree
morale,ahokeka
mortgage,awowa
morgue,efunu korabea
hour,dɔnhwere
second,deɛ ɛtɔ so mmienu
mortuary,efunu korabea
morsel,torɔma
mortal,ɔdasani
moo,yɛ muu
moslem,kramoni
monster,ɔbɔpɔn
mosque,masalakyi
oclock,dɔn
monthly,bosome bosome
money,sika
yearly,afe afe
monument,nkaedum
mop,apopadeɛ
monarch,ɔhene
monarchy,ahennie
monastery,ahotefoɔ fie
monitor,ɔhwɛsofoɔ
monk,barima ɔhoteni
monogamy,ɔyekoro awareɛ
monopolise,gye taa ani ase
modest,deɛ ɔnnwa n anom
modicum,ketewa bi
modify,sesa mu
modification,nsakraeɛ
mohammedan,kramoni
moist,deɛ emu afɔ kakra
muslim,kramoni
moisten,fɔ
molest,teetee
noel,buronya
noisome,kankan
nonchalant,deɛ hwee mfa ne ho
notion,adwene
notorious,mammɔfoɔ
nought,hwee
nourish,ma ɛyɛ frɔmfrɔm
nude,adagya
obituary,owuo ho nkaebɔ
object,tia mu
objection,ntiamu
office,ɔfese
often,taa
opinion,nsusuiɛ
oppose,ko tia
opportunity,akwannya
orient,apueeɛ
origin,ase
originate,fi ase
original,deɛ ɛdi kan
ornament,ahyehyɛdeɛ
ornithology,nnomaa ho adesua
orthography,atwerɛ
orphanage,nnyankafie
ostentation,nkyerɛho
ostentatious,deɛ ɔkyerɛ ne ho
ordain,hyɛ sɔfoɔ
ordeal,nsɔhwɛ
ordinance,mmara
order,nhyehyɛeɛ
ordinary,biara
ordnance,akodeɛ
organism,nkwaboa
ordination,asɔfohyɛ
organize,hyehyɛ
organisation,adwumakuo
orchard,turo
optimist,deɛ ɔwɔ gyedie
opulent,deɛ ne boɔ yɛ den yie
option,ɔpɛ
oracle,ɔbosomfo
oration,kasa
oral,ano mu
oratory,kasa fenenkyemm
orator,anotefoɔ
opposite,abira
orchestra,dwontofoɔ fekuo
oppress,hyɛ so
opposer,osidifoɔ
optic,deɛ ɛfa ani ho
oppression,ɔhyɛ
optimism,anidaso pa
omnipresent,deɛ agye baabiara
optimistic,gyedie
once,pɛnkoro
onset,ahyɛaseɛ
onslaught,atua
